Date: 20.2.2020 , In use by: Mena
Daytime: 12:11:3, Temperature: 26°C
ID, strain4A, strain4B, loadcell y, temp [°C], runtime [ms]
BASELINE Time: 12:11:27
269, 1900997.00, 8739193.00, 8579285.00,26, 27901
270, 1900930.00, 8738996.00, 8579218.00,26, 28005
271, 1901073.00, 8738286.00, 8579360.00,26, 28110
272, 1901206.00, 8737005.00, 8579290.00,26, 28214
273, 1901186.00, 8735979.00, 8579253.00,26, 28319
274, 1901189.00, 8735111.00, 8579342.00,26, 28423
275, 1901247.00, 8734487.00, 8579405.00,26, 28528
276, 1901283.00, 8734278.00, 8579521.00,26, 28632
277, 1901323.00, 8733895.00, 8579537.00,26, 28737
278, 1901322.00, 8733673.00, 8579332.00,26, 28841
279, 1901374.00, 8733297.00, 8579235.00,26, 28946
280, 1901438.00, 8732619.00, 8579500.00,26, 29050
281, 1901563.00, 8731291.00, 8579509.00,26, 29155
282, 1901688.00, 8730654.00, 8579420.00,26, 29259
283, 1901832.00, 8730030.00, 8579552.00,26, 29364
284, 1901870.00, 8729539.00, 8579348.00,26, 29468
285, 1901890.00, 8729240.00, 8579350.00,26, 29573
286, 1901895.00, 8728995.00, 8579233.00,26, 29677
287, 1901939.00, 8728653.00, 8579215.00,26, 29782
288, 1901990.00, 8728182.00, 8579345.00,26, 29886
289, 1902119.00, 8727267.00, 8579210.00,26, 29991
290, 1902198.00, 8726698.00, 8579175.00,26, 30095
291, 1902237.00, 8726222.00, 8579317.00,26, 30200
292, 1902388.00, 8725709.00, 8579381.00,26, 30304
293, 1902540.00, 8725007.00, 8579217.00,26, 30409
294, 1902537.00, 8724493.00, 8579032.00,26, 30513
295, 1902546.00, 8724146.00, 8579212.00,26, 30618
296, 1902591.00, 8723951.00, 8579206.00,26, 30722
297, 1902622.00, 8723195.00, 8579000.00,26, 30827
298, 1902658.00, 8722809.00, 8578834.00,26, 30931
299, 1902700.00, 8722445.00, 8579190.00,26, 31036
300, 1902775.00, 8722045.00, 8579218.00,26, 31140
301, 1902871.00, 8721634.00, 8579209.00,26, 31245
302, 1902862.00, 8721439.00, 8579349.00,26, 31349
303, 1902874.00, 8721355.00, 8579384.00,26, 31454
304, 1902886.00, 8721145.00, 8579125.00,26, 31558
305, 1902837.00, 8721113.00, 8578548.00,26, 31663
306, 1902883.00, 8720768.00, 8577365.00,26, 31767
307, 1902931.00, 8720293.00, 8576838.00,26, 31872
308, 1903108.00, 8719534.00, 8577452.00,26, 31976
309, 1903256.00, 8718780.00, 8578713.00,26, 32081
310, 1903257.00, 8718419.00, 8579309.00,26, 32185
311, 1903221.00, 8718273.00, 8579247.00,26, 32290
312, 1903246.00, 8718121.00, 8579149.00,26, 32394
313, 1903228.00, 8718328.00, 8579045.00,26, 32499
314, 1903170.00, 8718333.00, 8579145.00,26, 32603
315, 1903128.00, 8718252.00, 8579312.00,26, 32708
316, 1903156.00, 8718191.00, 8579106.00,26, 32812
317, 1903144.00, 8718025.00, 8579158.00,26, 32917
318, 1903128.00, 8717868.00, 8579322.00,26, 33021
319, 1903129.00, 8717782.00, 8579143.00,26, 33126
320, 1903149.00, 8717671.00, 8579155.00,26, 33230
321, 1903117.00, 8717411.00, 8579269.00,26, 33335
322, 1903153.00, 8717288.00, 8579276.00,26, 33439
323, 1903203.00, 8717180.00, 8579122.00,26, 33544
324, 1903177.00, 8717004.00, 8579068.00,26, 33648
325, 1903156.00, 8716906.00, 8579116.00,26, 33753
326, 1903168.00, 8716852.00, 8579317.00,26, 33857
327, 1903180.00, 8716688.00, 8579217.00,26, 33962
328, 1903180.00, 8716587.00, 8579320.00,26, 34066
329, 1903175.00, 8716485.00, 8579113.00,26, 34171
330, 1903199.00, 8716382.00, 8578963.00,26, 34275
331, 1903149.00, 8716293.00, 8579203.00,26, 34380
332, 1903110.00, 8716254.00, 8579165.00,26, 34484
333, 1903078.00, 8716219.00, 8579237.00,26, 34589
334, 1903058.00, 8716097.00, 8579313.00,26, 34693
335, 1903128.00, 8716014.00, 8579263.00,26, 34798
336, 1903174.00, 8715917.00, 8579258.00,26, 34902
337, 1903187.00, 8715715.00, 8579232.00,26, 35007
338, 1903217.00, 8715622.00, 8579216.00,26, 35111
339, 1903229.00, 8715616.00, 8579220.00,26, 35216
340, 1903173.00, 8715553.00, 8579226.00,26, 35320
